product_id,product_name,total_sold
OFF-AR-10002704,Boston 1900 Electric Pencil Sharpener,1
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",1
FUR-CH-10002317,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,1
TEC-MA-10003493,Penpower WorldCard Pro Card Scanner,1
OFF-PA-10000048,Xerox 20,1
OFF-LA-10003388,Avery 5,2
OFF-AR-10003986,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,2
FUR-TA-10001691,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",2
TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,2
OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,2
OFF-EN-10001535,Grip Seal Envelopes,2
TEC-MA-10002694,Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,2
OFF-EN-10001749,Jiffy Padded Mailers with Self-Seal Closure,2
TEC-AC-10003133,Memorex Mini Travel Drive 4 GB USB 2.0 Flash Drive,2
OFF-EN-10004206,Multimedia Mailers,2
TEC-MA-10002790,NeatDesk Desktop Scanner & Digital Filing System,2
TEC-MA-10001856,Okidata C610n Printer,2
TEC-PH-10004875,PNY Rapid USB Car Charger - Black,2
TEC-PH-10003535,RCA ViSYS 25423RE1 Corded phone,2
FUR-FU-10002874,Ultra Commercial Grade Dual Valve Door Closer,2
OFF-PA-10003739,Xerox 1969,2
OFF-PA-10002001,Xerox 1984,2
OFF-PA-10003919,Xerox 1989,2
TEC-MA-10002073,"3D Systems Cube Printer, 2nd Generation, White",3
TEC-PH-10002075,AT&T EL51110 DECT,3
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",3
OFF-AR-10004587,"Boston 1827 Commercial Additional Cutter, Drive Gear & Gear Rack for 1606",3
TEC-MA-10000904,"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",3
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",3
TEC-MA-10002937,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",3
TEC-MA-10003589,Cisco 8961 IP Phone Charcoal,3
TEC-PH-10001949,Cisco SPA 501G IP Phone,3
OFF-LA-10004055,Color-Coded Legal Exhibit Labels,3
OFF-ST-10001414,Decoflex Hanging Personal Folder File,3
OFF-ST-10001627,Eldon Jumbo ProFile Portable File Boxes Graphite/Black,3
TEC-MA-10004521,Epson Perfection V600 Photo Scanner,3
FUR-FU-10002685,"Executive Impressions 13-1/2 Indoor/Outdoor Wall Clock""""",3
OFF-AP-10003884,"Fellowes Smart Surge Ten-Outlet Protector, Platinum",3
OFF-PA-10004022,Hammermill Color Copier Paper (28Lb. and 96 Bright),3
TEC-MA-10003674,Hewlett-Packard Deskjet 5550 Printer,3
OFF-AP-10002734,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,3
TEC-MA-10002981,I.R.I.S IRISCard Anywhere 5 Card Scanner,3
FUR-FU-10003095,"Linden 12 Wall Clock With Oak Frame""""",3
TEC-AC-10004814,Logitech Illuminated Ultrathin Keyboard with Backlighting,3
TEC-AC-10000926,NETGEAR RangeMax WNR1000 Wireless Router,3
OFF-AR-10004974,Newell 342,3
TEC-MA-10003176,Okidata B400 Printer,3
TEC-MA-10003337,Okidata B401 Printer,3
TEC-MA-10003230,Okidata C610n Printer,3
TEC-PH-10001468,Panasonic BusinessÂ TelephonesÂ KX-T7736,3
TEC-PH-10002817,RCA ViSYS 25425RE1 Corded phone,3
TEC-MA-10001031,Socket Bluetooth Cordless Hand Scanner (CHS),3
TEC-AC-10002380,Sony 8GB Class 10 Micro SDHC R40 Memory Card,3
OFF-AR-10003896,"Stride Job 150 Highlighters, Chisel Tip, Assorted Colors",3
TEC-MA-10003329,"Vtech AT&T CL2940 Corded Speakerphone, Black",3
TEC-MA-10003066,Wasp CCD Handheld Bar Code Reader,3
OFF-PA-10001661,Xerox 1922,3
OFF-LA-10004272,Avery 482,4
OFF-LA-10002473,Avery 484,4
OFF-AP-10002670,Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,4
FUR-TA-10001866,Bevis Round Conference Room Tables and Bases,4
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",4
TEC-AC-10004420,Cherry 142-key Programmable Keyboard,4
TEC-MA-10002178,Cisco CP-7937G Unified IP Conference Station Phone,4
TEC-PH-10004959,Classic Ivory AntiqueÂ TelephoneÂ ZL1810,4
OFF-PA-10001281,Computer Printout Paper with Letter-Trim Fine Perforations,4
TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,4
TEC-MA-10000029,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",4
OFF-AP-10003099,"Eureka Hand Vacuum, Bagless",4
FUR-FU-10001379,"Executive Impressions 16-1/2 Circular Wall Clock""""",4
TEC-AC-10004595,First Data TMFD35 PIN Pad,4
TEC-MA-10003246,Hewlett-Packard Deskjet D4360 Printer,4
TEC-MA-10002109,"HP Officejet Pro 8600 e-All-In-One Printer, Copier, Scanner, Fax",4
OFF-SU-10003002,Letter Slitter,4
TEC-MA-10004458,Lexmark X 9575 Professional All-in-One Color Printer,4
TEC-AC-10002647,"LogitechÂ Wireless Boombox Speaker - portable - wireless, wired",4
TEC-AC-10001090,Micro Innovations Wireless Classic Keyboard with Mouse,4
OFF-AR-10003958,Newell 337,4
TEC-PH-10004241,Nokia Lumia 1020,4
OFF-AR-10003696,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,4
OFF-EN-10004007,Park Ridge Embossed Executive Business Envelopes,4
TEC-PH-10004830,Pyle PRT45 Retro HomeÂ Telephone,4
OFF-PA-10001450,Rediform S.O.S. Phone Message Books,4
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,4
TEC-AC-10004127,SanDisk Cruzer 8 GB USB Flash Drive,4
OFF-PA-10001001,"Snap-A-Way Black Print Carbonless Speed Message, No Reply Area, Duplicate",4
OFF-AR-10004707,Staples in misc. colors,4
TEC-MA-10004552,Star Micronics TSP100 TSP143LAN Receipt Printer,4
TEC-MA-10004241,Star Micronics TSP800 TSP847IIU Receipt Printer,4
FUR-FU-10002703,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36 x 48""""""""",4
OFF-BI-10004716,Wilson Jones Hanging Recycled Pressboard Data Binders,4
OFF-PA-10002109,Wirebound Voice Message Log Book,4
OFF-PA-10000308,Xerox 1901,4
OFF-PA-10001952,Xerox 1902,4
OFF-PA-10000919,Xerox 1918,4
TEC-PH-10002114,Xiaomi Mi3,4
OFF-FA-10000089,Acco Glide Clips,5
OFF-SU-10003936,Acme Serrated Blade Letter Opener,5
FUR-TA-10003837,Anderson Hickey Conga Table Tops & Accessories,5
TEC-PH-10002352,Avaya IP Phone 1140E VoIP phone,5
OFF-LA-10000476,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",5
OFF-LA-10003537,Avery 515,5
OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,5
OFF-AR-10001118,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",5
OFF-AR-10003772,Boston 16750 Black Compact Battery Pencil Sharpener,5
TEC-MA-10001570,Cisco Desktop Collaboration Experience DX650 IP Video Phone,5
TEC-AC-10001590,Dell Slim USB Multimedia Keyboard,5
OFF-ST-10004946,Desktop 3-Pocket Hot File,5
OFF-PA-10000565,Easy-staple paper,5
OFF-ST-10001034,Eldon File Chest Portable File,5
FUR-FU-10002553,"Electrix Incandescent Magnifying Lamp, Black",5
TEC-MA-10003673,Hewlett-Packard Desktjet 6988DT Refurbished Printer,5
OFF-AP-10004655,"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",5
TEC-AC-10002558,ImationÂ SwivelÂ Flash DriveÂ USBÂ flash driveÂ - 8 GB,5
OFF-SU-10001212,Kleencut Forged Office Shears by Acme United Corporation,5
TEC-MA-10000597,Lexmark S315 Color Inkjet Printer,5
TEC-PH-10002645,LG G2,5
OFF-PA-10001274,Loose Memo Sheets,5
OFF-AR-10004272,Newell 308,5
TEC-PH-10004348,OtterBox Defender Series Case - iPhone 5c,5
TEC-MA-10003356,Panasonic KX MC6040 Color Laser Multifunction Printer,5
TEC-MA-10004086,Plantronics Single Ear Headset,5
OFF-EN-10003798,"Recycled Interoffice Envelopes with Re-Use-A-Seal Closure, 10 x 13",5
FUR-TA-10004442,Riverside Furniture Stanwyck Manor Table Series,5
TEC-AC-10000487,SanDisk Cruzer 4 GB USB Flash Drive,5
OFF-AR-10001022,SANFORD Liquid Accent Tank-Style Highlighters,5
OFF-AP-10003914,"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",5
OFF-ST-10002292,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",5
OFF-ST-10003221,Staple magnet,5
OFF-AR-10004790,Staples in misc. colors,5
OFF-FA-10000254,Sterling Rubber Bands by Alliance,5
OFF-FA-10001754,Stockwell Gold Paper Clips,5
OFF-PA-10000859,Unpadded Memo Slips,5
OFF-PA-10003205,"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",5
TEC-PH-10002597,Xblue XB-1670-86 X16 SmallÂ Office TelephoneÂ - Titanium,5
OFF-PA-10002499,Xerox 1890,5
OFF-PA-10001725,Xerox 1892,5
OFF-PA-10001763,Xerox 1896,5
OFF-PA-10002552,Xerox 1958,5
OFF-PA-10001243,Xerox 1983,5
