order_id,customer_id,order_date,ship_date,ship_mode
CA-2016-152156,CG-12520,11/8/2016,11/11/2016,Second Class
CA-2016-138688,DV-13045,6/12/2016,6/16/2016,Second Class
US-2015-108966,SO-20335,10/11/2015,10/18/2015,Standard Class
CA-2014-115812,BH-11710,6/9/2014,6/14/2014,Standard Class
CA-2017-114412,AA-10480,4/15/2017,4/20/2017,Standard Class
CA-2016-161389,IM-15070,12/5/2016,12/10/2016,Standard Class
US-2015-118983,HP-14815,11/22/2015,11/26/2015,Standard Class
CA-2014-105893,PK-19075,11/11/2014,11/18/2014,Standard Class
CA-2014-167164,AG-10270,5/13/2014,5/15/2014,Second Class
CA-2014-143336,ZD-21925,8/27/2014,9/1/2014,Second Class
CA-2016-137330,KB-16585,12/9/2016,12/13/2016,Standard Class
US-2017-156909,SF-20065,7/16/2017,7/18/2017,Second Class
CA-2015-106320,EB-13870,9/25/2015,9/30/2015,Standard Class
CA-2016-121755,EH-13945,1/16/2016,1/20/2016,Second Class
US-2015-150630,TB-21520,9/17/2015,9/21/2015,Standard Class
CA-2017-107727,MA-17560,10/19/2017,10/23/2017,Second Class
CA-2016-117590,GH-14485,12/8/2016,12/10/2016,First Class
CA-2015-117415,SN-20710,12/27/2015,12/31/2015,Standard Class
CA-2017-120999,LC-16930,9/10/2017,9/15/2017,Standard Class
CA-2016-101343,RA-19885,7/17/2016,7/22/2016,Standard Class
CA-2017-139619,ES-14080,9/19/2017,9/23/2017,Standard Class
CA-2016-118255,ON-18715,3/11/2016,3/13/2016,First Class
CA-2014-146703,PO-18865,10/20/2014,10/25/2014,Second Class
CA-2016-169194,LH-16900,6/20/2016,6/25/2016,Standard Class
CA-2015-115742,DP-13000,4/18/2015,4/22/2015,Standard Class
CA-2016-105816,JM-15265,12/11/2016,12/17/2016,Standard Class
CA-2016-111682,TB-21055,6/17/2016,6/18/2016,First Class
CA-2015-135545,KM-16720,11/24/2015,11/30/2015,Standard Class
US-2015-164175,PS-18970,4/30/2015,5/5/2015,Standard Class
CA-2014-106376,BS-11590,12/5/2014,12/10/2014,Standard Class
CA-2016-119823,KD-16270,6/4/2016,6/6/2016,First Class
CA-2016-106075,HM-14980,9/18/2016,9/23/2016,Standard Class
CA-2017-114440,TB-21520,9/14/2017,9/17/2017,Second Class
US-2015-134026,JE-15745,4/26/2015,5/2/2015,Standard Class
US-2017-118038,KB-16600,12/9/2017,12/11/2017,First Class
US-2014-147606,JE-15745,11/26/2014,12/1/2014,Second Class
CA-2016-127208,SC-20770,6/12/2016,6/15/2016,First Class
CA-2014-139451,DN-13690,10/12/2014,10/16/2014,Standard Class
CA-2015-149734,JC-16105,9/3/2015,9/8/2015,Standard Class
US-2017-119662,CS-12400,11/13/2017,11/16/2017,First Class
CA-2017-140088,PO-18865,5/28/2017,5/30/2017,Second Class
CA-2017-155558,PG-18895,10/26/2017,11/2/2017,Standard Class
CA-2016-159695,GM-14455,4/5/2016,4/10/2016,Second Class
CA-2016-109806,JS-15685,9/17/2016,9/22/2016,Standard Class
CA-2015-149587,KB-16315,1/31/2015,2/5/2015,Second Class
US-2017-109484,RB-19705,11/6/2017,11/12/2017,Standard Class
CA-2017-161018,PN-18775,11/9/2017,11/11/2017,Second Class
CA-2017-157833,KD-16345,6/17/2017,6/20/2017,First Class
CA-2016-149223,ER-13855,9/6/2016,9/11/2016,Standard Class
CA-2016-158568,RB-19465,8/29/2016,9/2/2016,Standard Class
CA-2016-129903,GZ-14470,12/1/2016,12/4/2016,Second Class
US-2015-156867,LC-16870,11/13/2015,11/17/2015,Standard Class
CA-2017-119004,JM-15250,11/23/2017,11/28/2017,Standard Class
CA-2015-129476,PA-19060,10/15/2015,10/20/2015,Standard Class
CA-2017-146780,CV-12805,12/25/2017,12/30/2017,Standard Class
CA-2016-128867,CL-12565,11/3/2016,11/10/2016,Standard Class
CA-2014-115259,RC-19960,8/25/2014,8/27/2014,Second Class
CA-2015-110457,DK-13090,3/2/2015,3/6/2015,Standard Class
US-2015-136476,GG-14650,4/5/2015,4/10/2015,Standard Class
CA-2016-103730,SC-20725,6/12/2016,6/15/2016,First Class
US-2014-152030,AD-10180,12/26/2014,12/28/2014,Second Class
US-2014-134614,PF-19165,9/20/2014,9/25/2014,Standard Class
US-2017-107272,TS-21610,11/5/2017,11/12/2017,Standard Class
US-2016-125969,LS-16975,11/6/2016,11/10/2016,Second Class
US-2017-164147,DW-13585,2/2/2017,2/5/2017,First Class
CA-2016-145583,LC-16885,10/13/2016,10/19/2016,Standard Class
CA-2016-110366,JD-15895,9/5/2016,9/7/2016,Second Class
CA-2017-106180,SH-19975,9/18/2017,9/23/2017,Standard Class
CA-2017-155376,SG-20080,12/22/2017,12/27/2017,Standard Class
CA-2015-110744,HA-14920,9/7/2015,9/12/2015,Standard Class
CA-2014-110072,MG-17680,10/22/2014,10/28/2014,Standard Class
CA-2016-114489,JE-16165,12/5/2016,12/9/2016,Standard Class
CA-2016-158834,TW-21025,3/13/2016,3/16/2016,First Class
CA-2015-124919,SP-20650,5/31/2015,6/2/2015,First Class
CA-2015-118948,NK-18490,5/28/2015,6/3/2015,Standard Class
CA-2014-104269,DB-13060,3/1/2014,3/6/2014,Second Class
CA-2016-114104,NP-18670,11/20/2016,11/24/2016,Standard Class
CA-2016-162733,TT-21070,5/11/2016,5/12/2016,First Class
CA-2015-119697,EM-13960,12/28/2015,12/31/2015,Second Class
CA-2016-154508,RD-19900,11/16/2016,11/20/2016,Standard Class
CA-2016-113817,MJ-17740,11/7/2016,11/11/2016,Standard Class
CA-2014-139892,BM-11140,9/8/2014,9/12/2014,Standard Class
CA-2014-118962,CS-12130,8/5/2014,8/9/2014,Standard Class
US-2014-100853,JB-15400,9/14/2014,9/19/2014,Standard Class
US-2017-152366,SJ-20500,4/21/2017,4/25/2017,Second Class
US-2015-101511,JE-15745,11/21/2015,11/23/2015,Second Class
CA-2015-137225,JK-15640,12/15/2015,12/19/2015,Standard Class
CA-2014-166191,DK-13150,12/5/2014,12/9/2014,Second Class
CA-2014-158274,RM-19675,11/19/2014,11/24/2014,Second Class
CA-2016-105018,SK-19990,11/28/2016,12/2/2016,Standard Class
CA-2014-123260,FM-14290,8/26/2014,8/30/2014,Standard Class
CA-2016-157000,AM-10360,7/16/2016,7/22/2016,Standard Class
